,,,,,,,,Producer/Merchant/Processor/User - All - Long ,Producer/Merchant/Processor/User - All - Short,Swap Dealers – All - Long,Swap Dealers – All – Short,,Managed Money - All - Long,Managed Money - All - Short,,Other Reportables - All - Long,Other Reportables - All - Short,,,,Nonreportable Positions – Long,Nonreportable Positions – Short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENRY HUB LAST DAY FIN - NEW YORK MERCANTILE EXCHANGE,210803,2021-08-03,023A55,NYME,1,23,475162,120626,87118,17002,220707,56960,66917,4000,18554,147712,49270,34533,462304,471142,12858,4020,475162,120626,87118,17002,220707,56960,66917,4000,18554,147712,49270,34533,462304,471142,12858,4020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29466,-11136,-9879,1134,-11269,104,-3346,-3040,-5012,-832,9215,-9373,-28461,-29254,-1005,-212,100,25.4,18.3,3.6,46.4,12,14.1,0.8,3.9,31.1,10.4,7.3,97.3,99.2,2.7,0.8,100,25.4,18.3,3.6,46.4,12,14.1,0.8,3.9,31.1,10.4,7.3,97.3,99.2,2.7,0.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,32,24,7,18,17,9,.,5,21,9,15,89,70,102,32,24,7,18,17,9,.,5,21,9,15,89,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.7,39.5,39.7,58.2,26.7,36.5,37.1,51.5,26.7,39.5,39.7,58.2,26.7,36.5,37.1,51.5,0,0,0,0,0,0,0,0,"(Contracts of 10,000 MMBTU'S)",023A55,NYME,23,N13,FutOnly
HENRY HUB PENULTIMATE FIN - NEW YORK MERCANTILE EXCHANGE,210803,2021-08-03,023A56,NYME,1,23,145209,5412,38118,67327,13945,28657,3806,30769,7458,12984,7839,12646,138290,139432,6919,5777,145209,5412,38118,67327,13945,28657,3806,30769,7458,12984,7839,12646,138290,139432,6919,5777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-35448,-3343,-13625,-8481,139,-3182,-10854,-1228,-6128,-1494,-11735,-1954,-35436,-37713,-12,2265,100,3.7,26.3,46.4,9.6,19.7,2.6,21.2,5.1,8.9,5.4,8.7,95.2,96,4.8,4,100,3.7,26.3,46.4,9.6,19.7,2.6,21.2,5.1,8.9,5.4,8.7,95.2,96,4.8,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,10,13,10,6,13,4,5,6,11,8,16,51,51,57,10,13,10,6,13,4,5,6,11,8,16,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.1,35.6,56.6,53.6,32.2,25,46.6,36.8,36.1,35.6,56.6,53.6,32.2,25,46.6,36.8,0,0,0,0,0,0,0,0,"(Contracts of 10,000 MMBTU'S)",023A56,NYME,23,N13,FutOnly
DUTCH TTF NAT GAS CAL MONTH - NEW YORK MERCANTILE EXCHANGE,210803,2021-08-03,023B98,NYME,1,23,20610,9346,15005,5332,0,1463,0,330,810,666,515,265,17882,18388,2728,2222,20610,9346,15005,5332,0,1463,0,330,810,666,515,265,17882,18388,2728,2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3483,-3244,-1076,1547,0,-1540,0,0,0,185,-456,-1009,-4061,-4081,578,598,100,45.3,72.8,25.9,0,7.1,0,1.6,3.9,3.2,2.5,1.3,86.8,89.2,13.2,10.8,100,45.3,72.8,25.9,0,7.1,0,1.6,3.9,3.2,2.5,1.3,86.8,89.2,13.2,10.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12,12,4,0,.,0,.,.,.,.,.,20,19,20,12,12,4,0,.,0,.,.,.,.,.,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.5,51.2,69.1,70.7,37.2,42,47.6,48.9,50.5,51.2,69.1,70.7,37.2,42,47.6,48.9,0,0,0,0,0,0,0,0,(Contracts of  720 MWh),023B98,NYME,23,N13,FutOnly
COAL (API 2) CIF ARA - NEW YORK MERCANTILE EXCHANGE,210803,2021-08-03,24656,NYME,1,24,15245,12664,9764,725,1047,949,0,0,1,103,2810,350,14792,14921,453,324,15245,12664,9764,725,1047,949,0,0,1,103,2810,350,14792,14921,453,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-913,-790,-419,-234,-127,293,0,0,0,-2,-546,-204,-937,-1003,24,90,100,83.1,64,4.8,6.9,6.2,0,0,0,0.7,18.4,2.3,97,97.9,3,2.1,100,83.1,64,4.8,6.9,6.2,0,0,0,0.7,18.4,2.3,97,97.9,3,2.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,12,13,.,.,.,0,0,.,.,6,5,22,25,26,12,13,.,.,.,0,0,.,.,6,5,22,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.9,50.1,81.4,74.8,39.1,36.1,44.1,44.3,68.9,50.1,81.4,74.8,39.1,36.1,44.1,44.3,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 METRIC TONS)",24656,NYME,24,N16,FutOnly
ETHANOL T2 FOB INCL DUTY - NEW YORK MERCANTILE EXCHANGE,210803,2021-08-03,25608,NYME,1,25,6309,6100,5953,0,0,0,0,0,0,25,112,69,6194,6134,115,175,6309,6100,5953,0,0,0,0,0,0,25,112,69,6194,6134,115,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1234,-1174,-1169,0,0,0,0,0,0,-5,15,-15,-1194,-1169,-40,-65,100,96.7,94.4,0,0,0,0,0,0,0.4,1.8,1.1,98.2,97.2,1.8,2.8,100,96.7,94.4,0,0,0,0,0,0,0.4,1.8,1.1,98.2,97.2,1.8,2.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,19,21,0,0,0,0,0,0,.,.,.,21,23,25,19,21,0,0,0,0,0,0,.,.,.,21,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.6,54.9,82.5,74,51.5,52.6,67.1,66.1,56.6,54.9,82.5,74,51.5,52.6,67.1,66.1,0,0,0,0,0,0,0,0,(100 CUBIC METERS),25608,NYME,25,N10,FutOnly
CHICAGO ETHANOL - NEW YORK MERCANTILE EXCHANGE,210803,2021-08-03,25651,NYME,1,25,32289,25908,28226,315,1185,55,3403,0,1210,76,372,945,31912,31993,377,296,32289,25908,28226,315,1185,55,3403,0,1210,76,372,945,31912,31993,377,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5912,-5828,-5160,-10,-605,-51,-141,0,5,33,-169,118,-5874,-5862,-38,-50,100,80.2,87.4,1,3.7,0.2,10.5,0,3.7,0.2,1.2,2.9,98.8,99.1,1.2,0.9,100,80.2,87.4,1,3.7,0.2,10.5,0,3.7,0.2,1.2,2.9,98.8,99.1,1.2,0.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,39,58,.,.,.,10,0,.,.,4,6,57,70,86,39,58,.,.,.,10,0,.,.,4,6,57,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.8,31,56.3,47.3,27.4,23.2,32.8,29.4,38.8,31,56.3,47.3,27.4,23.2,32.8,29.4,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",25651,NYME,25,N10,FutOnly
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,210803,2021-08-03,26603,CBT ,0,26,358871,93960,245827,89370,2896,7170,47649,29498,22571,36462,7611,18557,315739,334130,43132,24741,58726,30862,44318,5794,58,188,3659,5070,124,8669,2923,0,49296,52681,9430,6045,300145,63098,201509,83756,3018,6802,46387,26825,20050,33147,10042,13203,266443,281449,33702,18696,-352,2377,-3017,1132,-74,572,-1076,2920,399,231,749,-1624,2011,-75,-2363,-277,100,26.2,68.5,24.9,0.8,2,13.3,8.2,6.3,10.2,2.1,5.2,88,93.1,12,6.9,100,52.6,75.5,9.9,0.1,0.3,6.2,8.6,0.2,14.8,5,0,83.9,89.7,16.1,10.3,100,21,67.1,27.9,1,2.3,15.5,8.9,6.7,11,3.3,4.4,88.8,93.8,11.2,6.2,256,80,75,27,.,12,37,37,34,31,14,24,207,170,165,52,52,19,.,.,15,13,.,17,9,0,105,76,249,72,60,26,.,12,39,35,33,28,18,19,192,154,12.7,31.4,20.9,42.4,12.5,28.1,19.4,38.8,20.9,32,32.2,43.7,20.9,31.8,31.3,43.2,14.7,32.5,23.2,43.6,14.5,30.1,22,41,(CONTRACTS OF 100 TONS),26603,CBT ,26,A30,FutOnly
Mini Eur Naphtha CIF NEW - NEW YORK MERCANTILE EXCHANGE,210803,2021-08-03,03265J,NYME,1,32,1363,581,627,38,408,85,0,0,0,286,80,50,1040,1250,323,113,1363,581,627,38,408,85,0,0,0,286,80,50,1040,1250,323,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-690,-313,-512,-217,183,-187,0,0,0,70,-61,-70,-717,-647,27,-43,100,42.6,46,2.8,29.9,6.2,0,0,0,21,5.9,3.7,76.3,91.7,23.7,8.3,100,42.6,46,2.8,29.9,6.2,0,0,0,21,5.9,3.7,76.3,91.7,23.7,8.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,9,11,.,.,.,0,0,0,.,.,.,15,16,20,9,11,.,.,.,0,0,0,.,.,.,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.1,65.3,62,78.3,35.5,59.1,51.7,68.8,42.1,65.3,62,78.3,35.5,59.1,51.7,68.8,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 METRIC TONS),03265J,NYME,32,N10,FutOnly
COTTON NO. 2 - ICE FUTURES U.S.,210803,2021-08-03,33661,ICUS,1,33,249315,21280,175965,70059,14473,4410,73405,8218,15993,32745,8889,13063,230955,241011,18360,8304,232791,16576,163473,70983,12737,2818,67766,9145,15066,30288,8817,12488,215985,224544,16806,8247,16524,4704,12492,641,3301,27,6566,0,0,2971,586,61,14970,16467,1554,57,3939,1150,292,-3395,-1344,1495,2798,-709,1167,381,702,1822,5418,3425,-1479,514,100,8.5,70.6,28.1,5.8,1.8,29.4,3.3,6.4,13.1,3.6,5.2,92.6,96.7,7.4,3.3,100,7.1,70.2,30.5,5.5,1.2,29.1,3.9,6.5,13,3.8,5.4,92.8,96.5,7.2,3.5,100,28.5,75.6,3.9,20,0.2,39.7,0,0,18,3.5,0.4,90.6,99.7,9.4,0.3,296,32,46,26,8,11,92,17,38,60,34,37,247,162,294,29,46,26,7,10,87,23,35,59,36,35,239,159,65,10,14,.,7,.,9,0,0,19,6,4,42,30,13.5,39.7,21,52.7,13.4,37.6,20.3,48.7,14.2,39.9,22.2,52.7,14.1,38.5,21.5,49.7,49.6,61.3,65,87.5,48,61.3,63.4,87.5,"(CONTRACTS OF 50,000 POUNDS)",33661,ICUS,33,A40,FutOnly
HENRY HUB - NEW YORK MERCANTILE EXCHANGE,210803,2021-08-03,03565B,NYME,1,23,561583,162125,67669,135526,367738,101538,10389,0,976,127098,6923,2896,540548,547740,21035,13843,561583,162125,67669,135526,367738,101538,10389,0,976,127098,6923,2896,540548,547740,21035,13843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22262,-19231,-3278,-892,-14633,-1672,-402,0,0,-626,-1640,-325,-23148,-21548,886,-714,100,28.9,12,24.1,65.5,18.1,1.8,0,0.2,22.6,1.2,0.5,96.3,97.5,3.7,2.5,100,28.9,12,24.1,65.5,18.1,1.8,0,0.2,22.6,1.2,0.5,96.3,97.5,3.7,2.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,12,10,7,14,16,.,0,.,.,4,.,38,34,43,12,10,7,14,16,.,0,.,.,4,.,38,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.6,53.5,69.8,73.9,48.7,50.9,62.9,67,51.6,53.5,69.8,73.9,48.7,50.9,62.9,67,0,0,0,0,0,0,0,0,"(Contracts of 2,500  MMBTU'S)",03565B,NYME,23,N13,FutOnly
HENRY HUB PENULTIMATE NAT GAS - NEW YORK MERCANTILE EXCHANGE,210803,2021-08-03,03565C,NYME,1,23,219477,27014,31721,106570,34773,62631,1308,22311,3981,2058,48644,9371,212933,213432,6544,6045,219477,27014,31721,106570,34773,62631,1308,22311,3981,2058,48644,9371,212933,213432,6544,6045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23996,-3601,-1589,-14195,-7193,-308,1308,-4912,-1968,-2032,-3464,-2692,-23488,-22126,-508,-1870,100,12.3,14.5,48.6,15.8,28.5,0.6,10.2,1.8,0.9,22.2,4.3,97,97.2,3,2.8,100,12.3,14.5,48.6,15.8,28.5,0.6,10.2,1.8,0.9,22.2,4.3,97,97.2,3,2.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,10,10,10,7,15,.,5,4,.,9,11,42,43,46,10,10,10,7,15,.,5,4,.,9,11,42,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.3,44.7,67.9,64.3,41.1,31,52,44.1,45.3,44.7,67.9,64.3,41.1,31,52,44.1,0,0,0,0,0,0,0,0,"(Contracts of 2,500  MMBTU'S)",03565C,NYME,23,N13,FutOnly
ROUGH RICE - CHICAGO BOARD OF TRADE,210803,2021-08-03,39601,CBT ,0,39,7725,4353,5099,137,100,0,766,1003,0,609,362,262,6127,6826,1598,899,7725,4353,5099,137,100,0,766,1003,0,609,362,262,6127,6826,1598,899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617,38,712,-2,0,0,108,10,-17,-44,-88,121,204,738,413,-121,100,56.3,66,1.8,1.3,0,9.9,13,0,7.9,4.7,3.4,79.3,88.4,20.7,11.6,100,56.3,66,1.8,1.3,0,9.9,13,0,7.9,4.7,3.4,79.3,88.4,20.7,11.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,9,13,.,.,0,6,6,0,5,.,.,23,25,42,9,13,.,.,0,6,6,0,5,.,.,23,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.9,55.9,59.5,67.2,46.2,55.2,58.9,66.4,46.9,55.9,59.5,67.2,46.2,55.2,58.9,66.4,0,0,0,0,0,0,0,0,"(CONTRACTS OF 200,000 POUNDS)",39601,CBT ,39,A10,FutOnly
FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,210803,2021-08-03,40701,ICUS,1,40,11818,1983,9684,1450,364,0,2894,163,128,2150,606,175,8780,11120,3038,698,11119,1765,9171,1133,364,0,2981,156,41,2093,647,129,8142,10508,2977,611,699,218,513,317,0,0,0,94,0,98,0,5,638,612,61,87,-273,14,-501,-164,277,0,-116,14,-24,-75,-96,173,-192,-157,-81,-116,100,16.8,81.9,12.3,3.1,0,24.5,1.4,1.1,18.2,5.1,1.5,74.3,94.1,25.7,5.9,100,15.9,82.5,10.2,3.3,0,26.8,1.4,0.4,18.8,5.8,1.2,73.2,94.5,26.8,5.5,100,31.2,73.4,45.4,0,0,0,13.4,0,14,0,0.7,91.3,87.6,8.7,12.4,69,11,12,4,.,0,16,.,.,19,4,.,53,24,69,9,12,4,.,0,17,.,.,19,6,.,51,23,17,5,.,.,0,0,0,.,0,6,0,.,14,5,23.5,62.2,35.7,79.4,23.5,61.3,35.1,78.4,24.7,63.5,37.4,79.8,24.7,62.6,35.9,78.8,64.9,86.8,81.1,87.6,64.9,85.4,80.4,85.4,"(CONTRACTS OF 15,000 POUNDS)",40701,ICUS,40,A50,FutOnly
BUTTER (CASH SETTLED) - CHICAGO MERCANTILE EXCHANGE,210803,2021-08-03,50642,CME ,0,50,9145,7174,4986,1006,2033,112,0,102,0,69,1269,80,8441,8582,704,563,9145,7174,4986,1006,2033,112,0,102,0,69,1269,80,8441,8582,704,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,340,123,16,71,9,0,-8,-30,1,186,-7,329,344,-7,-22,100,78.4,54.5,11,22.2,1.2,0,1.1,0,0.8,13.9,0.9,92.3,93.8,7.7,6.2,100,78.4,54.5,11,22.2,1.2,0,1.1,0,0.8,13.9,0.9,92.3,93.8,7.7,6.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,24,13,.,4,.,0,.,0,.,9,6,34,28,43,24,13,.,4,.,0,.,0,.,9,6,34,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,49,68.6,66.5,46.1,45.3,61.9,61.5,49,49,68.6,66.5,46.1,45.3,61.9,61.5,0,0,0,0,0,0,0,0,"(CONTRACTS OF 20,000 POUNDS)",50642,CME ,50,A25,FutOnly
"MILK, Class III - CHICAGO MERCANTILE EXCHANGE",210803,2021-08-03,52641,CME ,0,52,28229,3914,13241,9733,445,137,139,2957,397,11439,4710,369,26128,22256,2101,5973,28229,3914,13241,9733,445,137,139,2957,397,11439,4710,369,26128,22256,2101,5973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,911,260,340,320,-6,-35,125,181,-41,267,471,110,1006,1020,-95,-109,100,13.9,46.9,34.5,1.6,0.5,0.5,10.5,1.4,40.5,16.7,1.3,92.6,78.8,7.4,21.2,100,13.9,46.9,34.5,1.6,0.5,0.5,10.5,1.4,40.5,16.7,1.3,92.6,78.8,7.4,21.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,18,22,5,.,.,.,7,.,7,12,8,36,51,65,18,22,5,.,.,.,7,.,7,12,8,36,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.1,30.5,77,50.4,60.8,30.1,76.4,49.9,61.1,30.5,77,50.4,60.8,30.1,76.4,49.9,0,0,0,0,0,0,0,0,"(CONTRACTS OF 200,000 POUNDS)",52641,CME ,52,A25,FutOnly
NON FAT DRY MILK - CHICAGO MERCANTILE EXCHANGE,210803,2021-08-03,52642,CME ,0,52,7346,3793,4984,1529,354,251,0,91,187,410,746,227,6397,6840,949,506,7346,3793,4984,1529,354,251,0,91,187,410,746,227,6397,6840,949,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,132,165,66,-2,-2,0,-36,10,-34,12,41,213,188,43,68,100,51.6,67.8,20.8,4.8,3.4,0,1.2,2.5,5.6,10.2,3.1,87.1,93.1,12.9,6.9,100,51.6,67.8,20.8,4.8,3.4,0,1.2,2.5,5.6,10.2,3.1,87.1,93.1,12.9,6.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,19,15,4,.,.,0,.,.,5,.,5,31,27,38,19,15,4,.,.,0,.,.,5,.,5,31,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.3,48,52.3,69.8,32.6,44.2,50.4,65.3,34.3,48,52.3,69.8,32.6,44.2,50.4,65.3,0,0,0,0,0,0,0,0,"(CONTRACTS OF 44,000 LBS.)",52642,CME ,52,A25,FutOnly
LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,210803,2021-08-03,54642,CME ,0,54,280987,14105,146191,64264,3321,3469,100194,14533,33325,26899,26968,17482,259738,245289,21249,35698,133644,3643,65252,31711,2320,505,61457,28120,5803,17227,14750,3350,123696,120100,9948,13544,147343,10462,80939,33828,2276,1689,57017,4693,9242,17220,19766,6584,136042,125189,11301,22154,5025,-139,2382,848,-78,210,2321,-347,1671,612,692,-167,5356,4363,-331,662,100,5,52,22.9,1.2,1.2,35.7,5.2,11.9,9.6,9.6,6.2,92.4,87.3,7.6,12.7,100,2.7,48.8,23.7,1.7,0.4,46,21,4.3,12.9,11,2.5,92.6,89.9,7.4,10.1,100,7.1,54.9,23,1.5,1.1,38.7,3.2,6.3,11.7,13.4,4.5,92.3,85,7.7,15,296,47,81,17,4,6,80,26,49,36,36,43,230,206,280,17,78,16,5,4,65,42,27,28,40,18,158,183,223,40,69,15,4,4,52,13,22,21,31,28,158,149,17.4,19.2,30.1,28.6,17,16.7,27.6,25.1,18.1,22.4,31.4,31.6,18.1,22.1,31.4,30.3,22.3,19.3,36.9,29.4,18.6,17.8,33.1,27.1,"(CONTRACTS OF 40,000 POUNDS)",54642,CME ,54,A20,FutOnly
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,210803,2021-08-03,57642,CME ,0,57,294665,26772,169587,87276,2509,4658,81326,19648,26960,28530,20557,11083,266605,255002,28060,39663,294665,26772,169587,87276,2509,4658,81326,19648,26960,28530,20557,11083,266605,255002,28060,39663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6394,1099,-2937,-3157,-685,249,7,-1854,-3087,-1745,1403,362,-6272,-6549,-122,155,100,9.1,57.6,29.6,0.9,1.6,27.6,6.7,9.1,9.7,7,3.8,90.5,86.5,9.5,13.5,100,9.1,57.6,29.6,0.9,1.6,27.6,6.7,9.1,9.7,7,3.8,90.5,86.5,9.5,13.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,64,125,18,.,5,69,37,62,42,27,32,236,258,343,64,125,18,.,5,69,37,62,42,27,32,236,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.9,23.1,33.4,32.2,20.9,21.3,33.4,28.3,20.9,23.1,33.4,32.2,20.9,21.3,33.4,28.3,0,0,0,0,0,0,0,0,"(CONTRACTS OF 40,000 POUNDS)",57642,CME ,57,A20,FutOnly
RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,210803,2021-08-03,58643,CME ,0,58,2306,794,895,98,231,1,0,168,56,330,127,103,1382,1581,924,725,2306,794,895,98,231,1,0,168,56,330,127,103,1382,1581,924,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,93,67,16,0,1,0,-1,-1,95,81,-6,198,141,-18,39,100,34.4,38.8,4.2,10,0,0,7.3,2.4,14.3,5.5,4.5,59.9,68.6,40.1,31.4,100,34.4,38.8,4.2,10,0,0,7.3,2.4,14.3,5.5,4.5,59.9,68.6,40.1,31.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,10,12,.,.,.,0,4,.,7,.,5,23,25,36,10,12,.,.,.,0,4,.,7,.,5,23,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.1,31.4,38.5,42.9,19.4,23.4,29.6,33.9,27.1,31.4,38.5,42.9,19.4,23.4,29.6,33.9,0,0,0,0,0,0,0,0,"(CONTRACTS OF 110,000 BOARD FEET)",58643,CME ,58,N30,FutOnly
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,210803,2021-08-03,61641,CME ,0,61,49332,7118,6763,6239,802,1275,13669,5616,7725,2383,5164,4703,43112,32048,6220,17284,49332,7118,6763,6239,802,1275,13669,5616,7725,2383,5164,4703,43112,32048,6220,17284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2567,-207,-169,31,101,188,729,717,913,-223,484,939,2370,3173,197,-606,100,14.4,13.7,12.6,1.6,2.6,27.7,11.4,15.7,4.8,10.5,9.5,87.4,65,12.6,35,100,14.4,13.7,12.6,1.6,2.6,27.7,11.4,15.7,4.8,10.5,9.5,87.4,65,12.6,35,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,28,41,15,.,8,37,23,29,12,26,34,139,133,184,28,41,15,.,8,37,23,29,12,26,34,139,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2,12.5,30.9,19.9,16.2,6.7,25.6,10.5,18.2,12.5,30.9,19.9,16.2,6.7,25.6,10.5,0,0,0,0,0,0,0,0,"(CONTRACTS OF 50,000 POUNDS)",61641,CME ,61,A20,FutOnly
CHEESE (CASH-SETTLED) - CHICAGO MERCANTILE EXCHANGE,210803,2021-08-03,63642,CME ,0,63,26580,13891,10577,6619,495,1057,627,1358,206,3509,12255,81,25990,26029,590,551,26580,13891,10577,6619,495,1057,627,1358,206,3509,12255,81,25990,26029,590,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707,591,-113,-309,0,23,-9,63,-35,458,761,0,719,699,-12,8,100,52.3,39.8,24.9,1.9,4,2.4,5.1,0.8,13.2,46.1,0.3,97.8,97.9,2.2,2.1,100,52.3,39.8,24.9,1.9,4,2.4,5.1,0.8,13.2,46.1,0.3,97.8,97.9,2.2,2.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,20,18,.,.,.,.,9,.,8,6,.,32,41,57,20,18,.,.,.,.,9,.,8,6,.,32,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.4,53.9,73,74.3,45.3,53.9,67.4,74,48.4,53.9,73,74.3,45.3,53.9,67.4,74,0,0,0,0,0,0,0,0,"(CONTRACTS OF 20,000 POUNDS)",63642,CME ,63,A25,FutOnly
MID-C DAY-AHEAD PEAK - ICE FUTURES ENERGY DIV,210803,2021-08-03,64391,IFED,1,64,30119,17420,26304,5341,85,1852,0,483,87,4132,21,1264,30096,30096,23,23,30119,17420,26304,5341,85,1852,0,483,87,4132,21,1264,30096,30096,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1787,-1255,-1797,-231,-15,110,0,64,-14,-240,15,-142,-1772,-1779,-15,-8,100,57.8,87.3,17.7,0.3,6.1,0,1.6,0.3,13.7,0.1,4.2,99.9,99.9,0.1,0.1,100,57.8,87.3,17.7,0.3,6.1,0,1.6,0.3,13.7,0.1,4.2,99.9,99.9,0.1,0.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,19,20,.,.,.,0,.,.,4,.,5,28,31,35,19,20,.,.,.,0,.,.,4,.,5,28,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.4,58.7,72.8,76.1,39.7,50.7,54.9,62.5,48.4,58.7,72.8,76.1,39.7,50.7,54.9,62.5,0,0,0,0,0,0,0,0,(Contracts of 400 MWh),64391,IFED,64,N16,FutOnly
MID-C DAY-AHEAD OFF-PEAK - ICE FUTURES ENERGY DIV,210803,2021-08-03,64392,IFED,1,64,27745,19813,23131,630,1201,2605,372,0,153,3547,0,625,27745,27715,0,30,27745,19813,23131,630,1201,2605,372,0,153,3547,0,625,27745,27715,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-857,-1337,-1062,-128,417,-87,-50,0,0,925,-125,0,-677,-857,-180,0,100,71.4,83.4,2.3,4.3,9.4,1.3,0,0.6,12.8,0,2.3,100,99.9,0,0.1,100,71.4,83.4,2.3,4.3,9.4,1.3,0,0.6,12.8,0,2.3,100,99.9,0,0.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,20,16,.,.,.,.,0,.,.,0,.,27,21,31,20,16,.,.,.,.,0,.,.,0,.,27,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.4,63.1,76.5,85.3,53.6,56,64.7,70.5,55.4,63.1,76.5,85.3,53.6,56,64.7,70.5,0,0,0,0,0,0,0,0,(1 MWh for about 368 Hours),64392,IFED,64,N16,FutOnly
